Countries and areas,National Point Estimate
Kuwait,6.4
Kyrgyzstan,32.4
Kyrgyzstan,18.1
Kyrgyzstan,22.6
Kyrgyzstan,17.9
Kyrgyzstan,12.9
Kyrgyzstan,11.8
Lao People's Democratic Republic,53.6
Lao People's Democratic Republic,52.9
Lao People's Democratic Republic,47.5
Lao People's Democratic Republic,47.7
Lao People's Democratic Republic,44.2
Lao People's Democratic Republic,35.5
Lao People's Democratic Republic,33.1
Latvia,0.5
Lebanon,16.5
Lebanon,7.0
Lesotho,39.2
Lesotho,37.5
Lesotho,44.7
Lesotho,39.3
Lesotho,33.4
Lesotho,34.6
Liberia,45.3
Liberia,39.6
Liberia,39.0
Liberia,32.1
Liberia,30.1
Liberia,29.8
Libya,21.1
Libya,21.0
Libya,38.1
Lithuania,4.1
Madagascar,60.5
Madagascar,54.1
Madagascar,55.2
Madagascar,55.0
Madagascar,52.7
Madagascar,49.4
Madagascar,48.9
Madagascar,41.6
Madagascar,39.8
Malawi,55.4
Malawi,53.8
Malawi,62.3
Malawi,54.7
Malawi,58.3
Malawi,52.5
Malawi,53.1
Malawi,48.8
Malawi,47.3
Malawi,42.4
Malawi,37.4
Malawi,34.7
Malawi,44.2
Malawi,38.3
Malawi,39.3
Malawi,39.0
Malawi,40.9
Malawi,35.5
Malawi,34.9
Malaysia,20.7
Malaysia,17.5
Malaysia,17.7
Malaysia,20.7
Malaysia,21.8
Maldives,36.1
Maldives,33.0
Maldives,46.7
Maldives,31.9
Maldives,19.0
Maldives,15.3
Mali,32.8
Mali,36.2
Mali,42.5
Mali,37.6
Mali,27.8
Mali,27.9
Mali,28.1
Mali,29.0
Mali,30.4
Mali,26.4
Mali,24.6
Mali,24.2
Mali,26.9
Mali,26.4
Mali,23.0
Mali,22.1
Mali,21.8
Marshall Islands,34.8
Mauritania,40.2
Mauritania,49.8
Mauritania,38.6
Mauritania,31.5
Mauritania,23.6
Mauritania,29.7
Mauritania,23.2
Mauritania,27.9
Mauritania,22.8
Mauritania,19.4
Mauritania,25.8
Mauritania,17.4
Mauritania,25.1
Mauritius,27.3
Mauritius,13.6
Mexico,26.9
Mexico,26.0
Mexico,25.8
Mexico,21.4
Mexico,18.9
Mexico,19.4
Mexico,15.5
Mexico,13.6
Mexico,12.4
Mexico,10.0
Mexico,14.1
Mexico,13.9
Mexico,12.8
Mongolia,33.1
Mongolia,30.1
Mongolia,29.8
Mongolia,23.5
Mongolia,27.5
Mongolia,15.5
Mongolia,15.3
Mongolia,10.8
Mongolia,7.3
Mongolia,9.4
Montenegro,7.9
Montenegro,9.4
Montenegro,7.2
Morocco,31.0
Morocco,30.1
Morocco,28.9
Morocco,23.1
Morocco,14.9
Morocco,15.1
Morocco,14.2
Mozambique,59.9
Mozambique,42.6
Mozambique,50.7
Mozambique,46.9
Mozambique,43.5
Mozambique,42.9
Mozambique,42.3
Mozambique,37.5
Myanmar,53.6
Myanmar,58.7
